action,protocol,source,srcport,destination,dstport,log,disabled,name*,srcseczone,dstseczone
Permit,udp,any,any,10.207.21.25,snmptrap,Yes,Yes,grt5,GRT,
Permit,ip,any,any,10.207.17.0,any,Yes,Yes,grt6,GRT,
Permit,ip,DM_INLINE_NETWORK_239,any,10.129.0.0,any,No,Yes,grt7,GRT,
Permit,ip,DM_INLINE_NETWORK_11,any,DM_INLINE_NETWORK_37,any,Yes,Yes,grt8,GRT,
Permit,ip,DM_INLINE_NETWORK_203,any,10.206.0.0,any,Yes,Yes,grt9,GRT,
Permit,ip,DM_INLINE_NETWORK_93,any,10.206.0.0,any,No,Yes,grt10,GRT,
Permit,DM_INLINE_SERVICE_24,any,any,DM_INLINE_NETWORK_244,any,Yes,Yes,grt11,GRT,
Permit,ip,DM_INLINE_NETWORK_96,any,10.206.0.0,any,Yes,Yes,grt12,GRT,
Permit,tcp,DM_INLINE_NETWORK_33,any,10.206.10.11,DM_INLINE_TCP_30,Yes,Yes,grt13,GRT,
Permit,tcp,DM_INLINE_NETWORK_125,any,10.206.11.102,DM_INLINE_TCP_84,Yes,Yes,grt14,GRT,
Permit,udp,DM_INLINE_NETWORK_269,any,DM_INLINE_NETWORK_156,snmp,No,Yes,grt15,GRT,
Permit,tcp,DM_INLINE_NETWORK_243,any,g_IIS_LAR_Lleida,www,Yes,Yes,grt16,GRT,
Permit,DM_INLINE_SERVICE_27,10.132.97.50,any,DM_INLINE_NETWORK_140,any,Yes,Yes,grt17,GRT,
Permit,tcp,DM_INLINE_NETWORK_4,any,DM_INLINE_NETWORK_181,sqlnet,Yes,Yes,grt18,GRT,
Permit,ip,DM_INLINE_NETWORK_43,any,10.201.1.0,any,Yes,Yes,grt19,GRT,
Permit,tcp,DM_INLINE_NETWORK_34,any,DM_INLINE_NETWORK_88,DM_INLINE_TCP_39,Yes,Yes,grt20,GRT,
Permit,tcp,DM_INLINE_NETWORK_147,any,DM_INLINE_NETWORK_167,DM_INLINE_TCP_70,Yes,Yes,grt21,GRT,
Permit,tcp,10.144.16.231,any,10.204.64.100,8111,No,Yes,grt22,GRT,
Permit,ip,DM_INLINE_NETWORK_270,any,DM_INLINE_NETWORK_17,any,Yes,Yes,grt23,GRT,
Permit,ip,DM_INLINE_NETWORK_178,any,DM_INLINE_NETWORK_179,any,Yes,Yes,grt24,GRT,
Permit,ip,10.207.11.0,any,DM_INLINE_NETWORK_199,any,Yes,Yes,grt25,GRT,
Permit,tcp,g_PCs_COP_acceso_Video_Peaje,any,10.129.0.0,DM_INLINE_TCP_82,Yes,Yes,grt26,GRT,
Permit,ip,DM_INLINE_NETWORK_159,any,DM_INLINE_NETWORK_141,any,No,Yes,grt27,GRT,
Permit,ip,g_PCs_COP_admin_GRAN,any,DM_INLINE_NETWORK_310,any,Yes,Yes,grt28,GRT,
Permit,tcp,DM_INLINE_NETWORK_206,any,DM_INLINE_NETWORK_207,DM_INLINE_TCP_65,Yes,Yes,grt29,GRT,
Permit,ip,g_ToIP_aA,any,DM_INLINE_NETWORK_251,any,Yes,Yes,grt30,GRT,
Permit,ip,10.130.100.50,any,DM_INLINE_NETWORK_303,any,Yes,Yes,grt31,GRT,
Permit,ip,DM_INLINE_NETWORK_328,any,g_Captadores_Matricula_Aumar,any,Yes,Yes,grt32,GRT,
Permit,udp,10.147.16.16,any,10.206.0.0,snmp,No,Yes,grt33,GRT,
Permit,ip,10.228.0.0,any,DM_INLINE_NETWORK_248,any,Yes,Yes,grt34,GRT,
Permit,tcp,10.132.0.0,any,10200101130,ftp,Yes,Yes,grt35,GRT,
Permit,DM_INLINE_SERVICE_16,g_Centrales_Alarmas_aA_Sevip,any,DM_INLINE_NETWORK_190,any,Yes,Yes,grt36,GRT,
Permit,DM_INLINE_SERVICE_17,DM_INLINE_NETWORK_132,any,any,any,Yes,Yes,grt37,GRT,
Permit,ip,DM_INLINE_NETWORK_150,any,DM_INLINE_NETWORK_56,any,Yes,Yes,grt38,GRT,
Permit,ip,DM_INLINE_NETWORK_245,any,10.201.26.26,any,Yes,Yes,grt39,GRT,
Permit,udp,DM_INLINE_NETWORK_182,any,10.204.54.17,3000-3011,Yes,Yes,grt40,GRT,
Permit,tcp,g_srv_ONLINE_aA,any,DM_INLINE_NETWORK_205,4440-4445,Yes,Yes,grt41,GRT,
Permit,tcp,10.228.103.92,any,10200102144,DM_INLINE_TCP_66,Yes,Yes,grt42,GRT,
Permit,tcp,10228103120,any,10.206.10.30,www,Yes,Yes,grt43,GRT,
Permit,ip,172.18.0.21,any,10200102151,any,Yes,Yes,grt44,GRT,
Permit,tcp,DM_INLINE_NETWORK_242,any,DM_INLINE_NETWORK_280,DM_INLINE_TCP_1,Yes,Yes,grt45,GRT,
Permit,tcp,DM_INLINE_NETWORK_242,any,10.200.101.69,ldaps,Yes,Yes,grt46,GRT,
Permit,tcp,any,any,10.207.22.0,DM_INLINE_TCP_45,Yes,Yes,grt47,GRT,
Permit,ip,DM_INLINE_NETWORK_99,any,any,any,Yes,Yes,grt48,GRT,
Permit,udp,10.133.0.0,any,10.206.12.5,DM_INLINE_UDP_6,Yes,Yes,grt49,GRT,
Permit,ip,10.228.201.11,any,DM_INLINE_NETWORK_222,any,Yes,Yes,grt50,GRT,
Permit,ip,g_srv_ONLINE_aA,any,DM_INLINE_NETWORK_87,any,Yes,Yes,grt51,GRT,
Permit,tcp,10.225.0.0,any,g_srv_ONLINE,tcp_2500,No,Yes,grt52,GRT,
Permit,tcp,g_ToIP_aA,any,g_Cluster-COP-ACESA_GRAN,DM_INLINE_TCP_29,Yes,Yes,grt53,GRT,
Permit,tcp,DM_INLINE_NETWORK_67,any,DM_INLINE_NETWORK_69,DM_INLINE_TCP_28,Yes,Yes,grt54,GRT,
Permit,ip,DM_INLINE_NETWORK_210,any,10.129.0.0,any,Yes,Yes,grt55,GRT,
Permit,udp,DM_INLINE_NETWORK_49,any,10.207.21.10,syslog,Yes,Yes,grt56,GRT,
Permit,ip,10.130.0.0,any,10.129.15.150,any,Yes,Yes,grt57,GRT,
Permit,ip,10.129.100.20,any,DM_INLINE_NETWORK_133,any,Yes,Yes,grt58,GRT,
Permit,tcp,DM_INLINE_NETWORK_195,any,DM_INLINE_NETWORK_131,sqlnet,Yes,Yes,grt59,GRT,
Permit,udp,10.129.93.0,any,10.207.2.13,tftp,Yes,Yes,grt60,GRT,
Permit,tcp,10.133.0.0,any,DM_INLINE_NETWORK_6,DM_INLINE_TCP_31,Yes,Yes,grt61,GRT,
Permit,ip,10.130.100.40,any,DM_INLINE_NETWORK_172,any,Yes,Yes,grt62,GRT,
Permit,DM_INLINE_SERVICE_5,10.130.100.20,any,g_IIS_LAR_Lleida,any,Yes,Yes,grt63,GRT,
Permit,DM_INLINE_SERVICE_21,10.130.100.24,any,DM_INLINE_NETWORK_233,any,Yes,Yes,grt64,GRT,
Permit,tcp,10.130.100.24,any,DM_INLINE_NETWORK_263,9000,Yes,Yes,grt65,GRT,
Permit,tcp,10.130.100.20,any,DM_INLINE_NETWORK_264,9000,Yes,Yes,grt66,GRT,
